Filename,Product Application,Versions,CRCs
chirpstack-v3/Airport-int-R11-to-R14.js,Airport-int,R11 R12 R13 R14,1695912328|1872032769
chirpstack-v3/Default-R11-to-R14.js,Default,R11 R12 R13 R14,2132727044
chirpstack-v3/Digital-gpio-R11-to-R14.js,Digital-gpio,R11 R12 R13 R14,1617091456|3497448490
chirpstack-v3/Gnss-autonomous-test-R11-to-R14.js,Gnss-autonomous-test,R11 R12 R13 R14,1815337626
chirpstack-v3/Heartstarter-R11-to-R14.js,Heartstarter,R11 R12 R13 R14,1727723267
chirpstack-v3/Lifefinder-R11-to-R14.js,Lifefinder,R11 R12 R13 R14,47853213|3321548430
chirpstack-v3/Lifefinder-motion-R11-to-R14.js,Lifefinder-motion,R11 R12 R13 R14,1938827428|3031484599
chirpstack-v3/Lifefinder-squad-R11-to-R14.js,Lifefinder-squad,R11 R12 R13 R14,399948366|3505805917
chirpstack-v3/Lifefinder-wifi-R11-to-R14.js,Lifefinder-wifi,R11 R12 R13 R14,691254335|3994244140
chirpstack-v3/Motion-measure-R11-to-R14.js,Motion-measure,R11 R12 R13 R14,2297466901
chirpstack-v3/Puck-radar-R13-to-R14.js,Puck-radar,R13 R14,561898260
chirpstack-v3/Puck-radar-R11-to-R12.js,Puck-radar,R11 R12,1325798073
chirpstack-v3/Puck-radar-fast-rejoin-R12.js,Puck-radar-fast-rejoin,R12,729172455
chirpstack-v3/Puck-radar-fast-rejoin-R13-to-R14.js,Puck-radar-fast-rejoin,R13 R14,1121182195
chirpstack-v3/Square-air-R11-to-R14.js,Square-air,R11 R12 R13 R14,472391447|915094797|4002204643
chirpstack-v3/Square-comfort-R14.js,Square-comfort,R14,2696231198
chirpstack-v3/Square-comfort-R11-to-R13.js,Square-comfort,R11 R12 R13,3530880224|4174894842
chirpstack-v3/Square-comfort-sound-R11-to-R14.js,Square-comfort-sound,R11 R12 R13 R14,517999093|2387046759|2766427005
chirpstack-v3/Tracker-R11-to-R14.js,Tracker,R11 R12 R13 R14,489186430
chirpstack-v3/Tracker-stats-R11-to-R14.js,Tracker-stats,R11 R12 R13 R14,1711284143
